28/02/20,Natus Vincere,Mirage,13 - 16,L
28/02/20,Natus Vincere,Dust2,11 - 16,L
27/02/20,G2,Vertigo,10 - 16,L
27/02/20,G2,Dust2,11 - 16,L
26/02/20,Evil Geniuses,Inferno,16 - 10,W
26/02/20,Evil Geniuses,Nuke,15 - 19,L
26/02/20,Evil Geniuses,Overpass,16 - 7,W
25/02/20,Virtus.pro,Mirage,16 - 9,W
25/02/20,Virtus.pro,Vertigo,19 - 16,W
02/02/20,FaZe,Dust2,2 - 16,L
02/02/20,FaZe,Mirage,9 - 16,L
02/02/20,NiP,Mirage,19 - 17,W
02/02/20,NiP,Vertigo,16 - 10,W
01/02/20,FaZe,Inferno,5 - 16,L
01/02/20,FaZe,Dust2,12 - 16,L
31/01/20,MIBR,Inferno,16 - 9,W
31/01/20,MIBR,Vertigo,22 - 19,W
14/12/19,Astralis,Nuke,12 - 16,L
14/12/19,Astralis,Inferno,11 - 16,L
14/12/19,NiP,Mirage,16 - 14,W
14/12/19,NiP,Overpass,16 - 10,W
13/12/19,FaZe,Nuke,16 - 10,W
13/12/19,FaZe,Dust2,12 - 16,L
13/12/19,FaZe,Mirage,16 - 13,W
12/12/19,Astralis,Inferno,13 - 16,L
12/12/19,Astralis,Nuke,12 - 16,L
06/12/19,fnatic,Inferno,8 - 16,L
06/12/19,fnatic,Overpass,11 - 16,L
05/12/19,Astralis,Dust2,13 - 16,L
05/12/19,Astralis,Nuke,7 - 16,L
05/12/19,Astralis,Inferno,16 - 14,W
04/12/19,mousesports,Dust2,16 - 14,W
04/12/19,mousesports,Vertigo,12 - 16,L
04/12/19,mousesports,Nuke,16 - 5,W
03/12/19,North,Vertigo,16 - 12,W
01/12/19,Astralis,Dust2,8 - 16,L
01/12/19,Astralis,Nuke,11 - 16,L
01/12/19,Astralis,Vertigo,19 - 15,W
30/11/19,fnatic,Mirage,16 - 10,W
30/11/19,fnatic,Inferno,16 - 6,W
30/11/19,fnatic,Overpass,6 - 16,L
28/11/19,Evil Geniuses,Dust2,16 - 14,W
28/11/19,Evil Geniuses,Inferno,16 - 4,W
28/11/19,NiP,Mirage,16 - 4,W
02/11/19,FaZe,Inferno,16 - 5,W
02/11/19,NiP,Mirage,11 - 16,L
02/11/19,Astralis,Nuke,10 - 16,L
01/11/19,Cloud9,Inferno,16 - 4,W
01/11/19,Natus Vincere,Dust2,14 - 16,L
24/10/19,ATK,Overpass,16 - 11,W
24/10/19,ATK,Inferno,16 - 12,W
24/10/19,ATK,Dust2,17 - 19,L
22/10/19,INTZ,Dust2,16 - 12,W
22/10/19,INTZ,Mirage,16 - 11,W
21/10/19,ex-Singularity,Mirage,16 - 6,W
21/10/19,ex-Singularity,Vertigo,16 - 4,W
17/10/19,Renegades,Inferno,16 - 12,W
17/10/19,Renegades,Mirage,16 - 7,W
16/10/19,Singularity,Inferno,16 - 3,W
16/10/19,Singularity,Dust2,19 - 15,W
16/10/19,Singularity,Overpass,12 - 16,L
15/10/19,ATK,Dust2,16 - 3,W
15/10/19,ATK,Vertigo,16 - 5,W
03/10/19,Grayhound,Nuke,10 - 16,L
03/10/19,Grayhound,Mirage,13 - 16,L
02/10/19,North,Dust2,16 - 6,W
02/10/19,North,Mirage,16 - 10,W
02/10/19,North,Inferno,14 - 16,L
01/10/19,OpTic,Overpass,9 - 16,L
28/09/19,Astralis,Overpass,13 - 16,L
28/09/19,Astralis,Dust2,16 - 9,W
28/09/19,Astralis,Vertigo,9 - 16,L
26/09/19,G2,Overpass,16 - 8,W
26/09/19,G2,Inferno,17 - 19,L
26/09/19,G2,Dust2,16 - 3,W
26/09/19,eUnited,Mirage,16 - 3,W
26/09/19,eUnited,Overpass,16 - 12,W
17/09/19,Sharks,Mirage,14 - 16,L
17/09/19,Sharks,Vertigo,13 - 16,L
16/09/19,eUnited,Nuke,16 - 13,W
16/09/19,eUnited,Mirage,16 - 3,W
16/09/19,eUnited,Overpass,11 - 16,L
