23/02/20,Complexity,Dust2,9 - 16,L
23/02/20,Complexity,Nuke,2 - 16,L
22/02/20,ENCE,Overpass,16 - 11,W
22/02/20,ENCE,Train,15 - 19,L
22/02/20,ENCE,Nuke,16 - 8,W
21/02/20,Complexity,Dust2,11 - 16,L
01/02/20,NiP,Inferno,9 - 16,L
01/02/20,NiP,Vertigo,12 - 16,L
01/02/20,NiP,Train,16 - 9,W
31/01/20,Liquid,Inferno,9 - 16,L
31/01/20,Liquid,Vertigo,19 - 22,L
10/01/20,Cloud9,Inferno,12 - 16,L
10/01/20,Cloud9,Overpass,4 - 16,L
10/01/20,Cloud9,Train,16 - 13,W
09/01/20,Complexity,Inferno,28 - 25,W
09/01/20,Complexity,Mirage,16 - 7,W
09/01/20,INTZ,Train,16 - 10,W
09/01/20,INTZ,Mirage,7 - 16,L
09/01/20,INTZ,Vertigo,16 - 13,W
08/01/20,Chaos,Inferno,16 - 8,W
08/01/20,Chaos,Mirage,16 - 5,W
08/01/20,Riot Squad,Train,16 - 10,W
08/01/20,Riot Squad,Mirage,13 - 16,L
08/01/20,Riot Squad,Inferno,16 - 12,W
07/01/20,INTZ,Vertigo,14 - 16,L
07/01/20,INTZ,Train,8 - 16,L
07/01/20,INTZ,Mirage,16 - 4,W
14/12/19,OG,Dust2,6 - 16,L
14/12/19,OG,Mirage,7 - 16,L
14/12/19,Virtus.pro,Inferno,16 - 3,W
14/12/19,Virtus.pro,Train,14 - 16,L
14/12/19,FURIA,Inferno,17 - 19,L
14/12/19,FURIA,Mirage,9 - 16,L
14/12/19,mousesports,Vertigo,16 - 7,W
14/12/19,mousesports,Mirage,7 - 16,L
13/12/19,G2,Train,3 - 16,L
13/12/19,G2,Vertigo,16 - 11,W
04/12/19,fnatic,Vertigo,11 - 16,L
04/12/19,fnatic,Dust2,19 - 16,W
04/12/19,fnatic,Inferno,10 - 16,L
03/12/19,Natus Vincere,Dust2,4 - 16,L
03/12/19,Natus Vincere,Train,9 - 16,L
03/12/19,FaZe,Mirage,16 - 12,W
30/11/19,fnatic,Inferno,13 - 16,L
30/11/19,fnatic,Vertigo,9 - 16,L
29/11/19,Sharks,Train,16 - 7,W
29/11/19,Sharks,Vertigo,16 - 13,W
28/11/19,fnatic,Inferno,9 - 16,L
24/11/19,ENCE,Overpass,10 - 16,L
24/11/19,ENCE,Mirage,11 - 16,L
24/11/19,ENCE,Train,16 - 14,W
23/11/19,AVANGAR,Dust2,19 - 15,W
23/11/19,AVANGAR,Train,16 - 12,W
23/11/19,AVANGAR,Mirage,9 - 16,L
21/11/19,TYLOO,Train,12 - 16,L
21/11/19,TYLOO,Mirage,12 - 16,L
20/11/19,Evil Geniuses,Inferno,16 - 10,W
20/11/19,Evil Geniuses,Vertigo,16 - 13,W
31/10/19,eUnited,Inferno,16 - 6,W
31/10/19,eUnited,Train,16 - 11,W
31/10/19,eUnited,Overpass,11 - 16,L
30/10/19,ATK,Inferno,16 - 8,W
30/10/19,ATK,Mirage,22 - 19,W
29/10/19,The Quest,Overpass,16 - 8,W
29/10/19,The Quest,Mirage,16 - 11,W
29/10/19,The Quest,Vertigo,11 - 16,L
26/10/19,Renegades,Mirage,5 - 16,L
26/10/19,Renegades,Train,16 - 5,W
26/10/19,Renegades,Inferno,6 - 16,L
25/10/19,NiP,Mirage,16 - 12,W
25/10/19,NiP,Inferno,7 - 16,L
25/10/19,NiP,Train,16 - 9,W
24/10/19,fnatic,Mirage,10 - 16,L
24/10/19,fnatic,Inferno,10 - 16,L
23/10/19,North,Overpass,16 - 14,W
23/10/19,North,Mirage,16 - 9,W
23/10/19,Imperial,Train,16 - 13,W
23/10/19,Imperial,Inferno,16 - 4,W
21/10/19,Renegades,Mirage,20 - 22,L
21/10/19,Renegades,Dust2,12 - 16,L
21/10/19,Renegades,Inferno,19 - 16,W
11/10/19,FURIA,Mirage,14 - 16,L
11/10/19,FURIA,Train,16 - 11,W
11/10/19,FURIA,Overpass,5 - 16,L
10/10/19,Swole Patrol,Mirage,16 - 6,W
10/10/19,Swole Patrol,Vertigo,16 - 9,W
09/10/19,Envy,Mirage,16 - 12,W
09/10/19,Envy,Inferno,16 - 5,W
01/10/19,ATK,Vertigo,8 - 16,L
01/10/19,ATK,Dust2,11 - 16,L
01/10/19,ATK,Overpass,16 - 9,W
30/09/19,ex-Luminosity,Vertigo,16 - 5,W
30/09/19,ex-Luminosity,Dust2,16 - 10,W
22/09/19,Tricked,Dust2,13 - 16,L
22/09/19,Tricked,Overpass,14 - 16,L
19/09/19,NiP,Dust2,16 - 6,W
19/09/19,NiP,Inferno,22 - 20,W
18/09/19,GAMERZONE,Mirage,16 - 9,W
18/09/19,GAMERZONE,Train,16 - 11,W
18/09/19,GAMERZONE,Inferno,12 - 16,L
14/09/19,forZe,Dust2,16 - 9,W
14/09/19,AVANGAR,Mirage,9 - 16,L
14/09/19,ENCE,Mirage,15 - 15,T
13/09/19,NiP,Train,15 - 15,T
13/09/19,Natus Vincere,Train,16 - 12,W
