25/01/20,Swole Patrol,Overpass,16 - 8,W
25/01/20,Swole Patrol,Vertigo,16 - 14,W
23/01/20,Riot Squad,Inferno,16 - 11,W
23/01/20,Riot Squad,Mirage,16 - 14,W
19/01/20,Complexity,Mirage,10 - 16,L
19/01/20,Complexity,Overpass,16 - 10,W
19/01/20,Complexity,Train,11 - 16,L
18/01/20,Triumph,Dust2,16 - 9,W
18/01/20,Triumph,Vertigo,16 - 4,W
18/01/20,Oceanus,Vertigo,16 - 2,W
18/01/20,Oceanus,Mirage,16 - 5,W
15/01/20,Divine,Overpass,16 - 4,W
15/01/20,Divine,Vertigo,16 - 5,W
12/01/20,Gen.G,Overpass,15 - 19,L
12/01/20,Gen.G,Vertigo,11 - 16,L
11/01/20,Russian Street Party,Train,16 - 7,W
11/01/20,Russian Street Party,Mirage,16 - 5,W
11/01/20,Russian Street Party,Inferno,12 - 16,L
09/01/20,MIBR,Train,10 - 16,L
09/01/20,MIBR,Mirage,16 - 7,W
09/01/20,MIBR,Vertigo,13 - 16,L
08/01/20,Gen.G,Dust2,16 - 10,W
08/01/20,Gen.G,Vertigo,16 - 14,W
08/01/20,Cloud9,Inferno,7 - 16,L
08/01/20,Cloud9,Vertigo,6 - 16,L
07/01/20,MIBR,Vertigo,16 - 14,W
07/01/20,MIBR,Train,16 - 8,W
07/01/20,MIBR,Mirage,4 - 16,L
15/12/19,forZe,Mirage,12 - 16,L
15/12/19,forZe,Vertigo,16 - 7,W
15/12/19,forZe,Nuke,13 - 16,L
15/12/19,ORDER,Mirage,16 - 8,W
15/12/19,ORDER,Inferno,16 - 6,W
14/12/19,HAVU,Overpass,9 - 16,L
14/12/19,ORDER,Train,16 - 7,W
13/12/19,Riot Squad,Nuke,16 - 4,W
13/12/19,Riot Squad,Train,19 - 17,W
13/12/19,Riot Squad,Inferno,16 - 19,L
13/12/19,Riot Squad,Mirage,16 - 14,W
11/12/19,New England Whalers,Train,16 - 6,W
11/12/19,New England Whalers,Inferno,16 - 8,W
11/12/19,Chaos,Nuke,16 - 6,W
11/12/19,Rap Gang,Mirage,16 - 5,W
17/11/19,Virtus.pro,Dust2,8 - 16,L
17/11/19,Virtus.pro,Train,11 - 16,L
16/11/19,CR4ZY,Train,12 - 16,L
15/11/19,Virtus.pro,Mirage,16 - 10,W
11/11/19,Triumph,Mirage,16 - 7,W
11/11/19,Triumph,Vertigo,16 - 3,W
10/11/19,Riot Squad,Mirage,12 - 16,L
10/11/19,Riot Squad,Inferno,7 - 16,L
09/11/19,TeamOne,Mirage,16 - 13,W
09/11/19,TeamOne,Overpass,9 - 16,L
09/11/19,TeamOne,Nuke,16 - 12,W
09/11/19,MAC-51,Vertigo,16 - 10,W
09/11/19,MAC-51,Mirage,16 - 5,W
07/11/19,Rugratz,Mirage,16 - 7,W
06/11/19,Ben's Anime Team,Mirage,10 - 16,L
06/11/19,Riot Squad,Train,16 - 9,W
01/11/19,Rap Gang,Overpass,16 - 10,W
01/11/19,LiViD,Overpass,16 - 3,W
31/10/19,Mythic,Train,16 - 3,W
30/10/19,TeamOne,Overpass,16 - 8,W
30/10/19,Ascent,Mirage,16 - 10,W
28/10/19,eUnited,Vertigo,13 - 16,L
28/10/19,eUnited,Train,12 - 16,L
24/10/19,Monstars,Inferno,16 - 10,W
24/10/19,Just Swing,Train,16 - 6,W
22/10/19,Liquid,Dust2,12 - 16,L
22/10/19,Liquid,Mirage,11 - 16,L
21/10/19,Cloud9,Inferno,16 - 14,W
21/10/19,Cloud9,Mirage,16 - 8,W
14/10/19,Cloud9,Nuke,11 - 16,L
14/10/19,Cloud9,Mirage,25 - 23,W
14/10/19,Cloud9,Train,8 - 16,L
13/10/19,Ben's Anime Team,Mirage,16 - 5,W
13/10/19,Ben's Anime Team,Nuke,19 - 17,W
13/10/19,eUnited,Dust2,16 - 11,W
13/10/19,eUnited,Overpass,8 - 16,L
13/10/19,eUnited,Mirage,16 - 13,W
12/10/19,Infinity,Overpass,16 - 12,W
09/10/19,Peeker's Advantage,Train,16 - 3,W
03/10/19,MAC-51,Vertigo,16 - 8,W
03/10/19,Big Frames,Train,16 - 3,W
30/09/19,ATK,Overpass,14 - 16,L
30/09/19,ATK,Mirage,11 - 16,L
26/09/19,The Quest,Overpass,16 - 10,W
20/09/19,Bushido Boyz,Mirage,16 - 2,W
20/09/19,ATK,Overpass,10 - 16,L
16/09/19,Sharks,Mirage,7 - 16,L
16/09/19,Sharks,Vertigo,12 - 16,L
