26/02/20,MAD Lions,Dust2,13 - 16,L
26/02/20,MAD Lions,Vertigo,16 - 7,W
26/02/20,MAD Lions,Overpass,14 - 16,L
25/02/20,Liquid,Mirage,9 - 16,L
25/02/20,Liquid,Vertigo,16 - 19,L
04/02/20,GODSENT,Vertigo,13 - 16,L
04/02/20,GODSENT,Dust2,9 - 16,L
02/02/20,mousesports,Train,14 - 16,L
02/02/20,mousesports,Vertigo,9 - 16,L
01/02/20,Heroic,Vertigo,16 - 14,W
01/02/20,Heroic,Overpass,16 - 8,W
25/01/20,Cloud9,Dust2,7 - 16,L
25/01/20,Cloud9,Overpass,4 - 16,L
24/01/20,BIG,Inferno,8 - 16,L
19/12/19,forZe,Vertigo,10 - 16,L
19/12/19,forZe,Inferno,16 - 13,W
19/12/19,forZe,Train,3 - 16,L
18/12/19,mousesports,Dust2,19 - 22,L
18/12/19,mousesports,Mirage,11 - 16,L
18/12/19,mousesports,Inferno,16 - 11,W
15/12/19,G2,Train,12 - 16,L
15/12/19,G2,Nuke,7 - 16,L
15/12/19,G2,Vertigo,16 - 12,W
14/12/19,MIBR,Inferno,3 - 16,L
14/12/19,MIBR,Train,16 - 14,W
14/12/19,G2,Vertigo,2 - 16,L
14/12/19,G2,Train,8 - 16,L
13/12/19,OG,Train,17 - 19,L
13/12/19,OG,Mirage,19 - 15,W
12/12/19,FURIA,Nuke,16 - 5,W
12/12/19,FURIA,Mirage,9 - 16,L
12/12/19,mousesports,Vertigo,16 - 11,W
12/12/19,mousesports,Mirage,6 - 16,L
10/12/19,GamerLegion,Overpass,16 - 3,W
10/12/19,GamerLegion,Nuke,16 - 7,W
09/12/19,OFFSET,Overpass,16 - 9,W
09/12/19,OFFSET,Train,16 - 10,W
09/12/19,OFFSET,Inferno,9 - 16,L
06/12/19,SKADE,Mirage,14 - 16,L
06/12/19,SKADE,Nuke,19 - 15,W
06/12/19,SKADE,Overpass,13 - 16,L
05/12/19,Illuminar,Mirage,13 - 16,L
05/12/19,Illuminar,Vertigo,3 - 16,L
27/11/19,Wisla Krakow,Nuke,16 - 12,W
